debtor_id,age,gender,region,original_amount,days_past_due,collection_status,amount_recovered,outstanding_amount,strategy_used,contact_attempts,contact_success_count,recovery_time_days,credit_score,income_level,employment_status,loan_id,days_past_due_group,collection_rate,contact_efficiency,cluster,cluster_name,recommended_strategy
1,53,여성,성남시 분당구,37658485,200,성공,28832856,8825629,전화,6,1,142.0,704,6244,자영업,L0001,상각,0.765640359669275,4805476.0,2,저위험_단기연체군,자동 문자/이메일 발송
2,52,여성,음성군,36272042,303,실패,0,36272042,전화,11,0,,741,3811,자영업,L0002,상각,0.0,0.0,0,고액_고위험군,전담 추심원 배정 및 법적 절차 준비
3,38,남성,안산시 상록구,7108302,35,성공,5182647,1925655,문자,1,0,24.0,870,4956,직장인,L0003,단기,0.7290977507708593,5182647.0,2,저위험_단기연체군,자동 문자/이메일 발송
4,38,여성,철원군,3731265,272,실패,0,3731265,전화,10,0,,889,2462,무직,L0004,상각,0.0,0.0,0,고액_고위험군,전담 추심원 배정 및 법적 절차 준비
5,23,남성,정선군,49401770,121,실패,0,49401770,전화,3,0,,702,2566,직장인,L0005,중기,0.0,0.0,0,고액_고위험군,전담 추심원 배정 및 법적 절차 준비
6,51,남성,예산군,41440555,69,성공,20980360,20460195,문자,3,0,50.0,481,2810,무직,L0006,단기,0.5062760380501661,6993453.333333333,2,저위험_단기연체군,자동 문자/이메일 발송
7,57,남성,당진시,7676585,325,실패,0,7676585,전화,12,1,,641,3837,직장인,L0007,상각,0.0,0.0,1,중위험_장기연체군,"채무 조정(분할 상환, 유예) 제안"
8,40,남성,금산군,34964796,251,성공,31509682,3455114,전화,10,0,158.0,479,2238,자영업,L0008,상각,0.9011830642455344,3150968.2,0,고액_고위험군,전담 추심원 배정 및 법적 절차 준비
9,62,남성,양양군,49415956,253,성공,40367796,9048160,전화,8,0,50.0,661,7945,무직,L0009,상각,0.816898007599003,5045974.5,1,중위험_장기연체군,"채무 조정(분할 상환, 유예) 제안"
10,21,여성,포천시,44971358,268,성공,39163102,5808256,방문,9,0,245.0,774,6916,직장인,L0010,상각,0.8708454390014195,4351455.777777778,0,고액_고위험군,전담 추심원 배정 및 법적 절차 준비
13,33,남성,안산시 단원구,37385150,105,실패,0,37385150,전화,2,0,,842,3050,자영업,L0013,중기,0.0,0.0,0,고액_고위험군,전담 추심원 배정 및 법적 절차 준비
14,66,남성,양양군,751670,286,실패,0,751670,전화,10,0,,522,5955,직장인,L0014,상각,0.0,0.0,1,중위험_장기연체군,"채무 조정(분할 상환, 유예) 제안"
15,31,남성,청주시 상당구,41503065,234,실패,0,41503065,방문,7,1,,578,4634,직장인,L0015,상각,0.0,0.0,0,고액_고위험군,전담 추심원 배정 및 법적 절차 준비
17,28,여성,원주시,24018348,314,실패,0,24018348,방문,10,0,,526,5730,직장인,L0017,상각,0.0,0.0,1,중위험_장기연체군,"채무 조정(분할 상환, 유예) 제안"
18,53,남성,홍성군,37975541,43,성공,34073044,3902497,전화,1,0,29.0,407,2568,직장인,L0018,단기,0.8972365660307512,34073044.0,2,저위험_단기연체군,자동 문자/이메일 발송
19,45,남성,예산군,33210792,336,실패,0,33210792,전화,13,0,,844,4793,직장인,L0019,상각,0.0,0.0,0,고액_고위험군,전담 추심원 배정 및 법적 절차 준비
20,48,여성,광명시,34317744,80,실패,0,34317744,문자,4,0,,587,6196,직장인,L0020,단기,0.0,0.0,2,저위험_단기연체군,자동 문자/이메일 발송
21,54,여성,고양시,20972115,144,실패,0,20972115,전화,6,0,,740,7359,무직,L0021,중기,0.0,0.0,1,중위험_장기연체군,"채무 조정(분할 상환, 유예) 제안"
23,29,여성,부천시,47013672,223,실패,0,47013672,방문,8,0,,854,2147,자영업,L0023,상각,0.0,0.0,0,고액_고위험군,전담 추심원 배정 및 법적 절차 준비
24,43,여성,가평군,31282245,350,실패,0,31282245,전화,12,1,,438,6501,직장인,L0024,상각,0.0,0.0,1,중위험_장기연체군,"채무 조정(분할 상환, 유예) 제안"
25,45,남성,안산시,17136710,187,성공,16063864,1072846,전화,8,0,178.0,832,4642,직장인,L0025,상각,0.9373948675095743,2007983.0,2,저위험_단기연체군,자동 문자/이메일 발송
26,36,남성,횡성군,32009017,269,성공,18652655,13356362,방문,9,0,194.0,526,4430,직장인,L0026,상각,0.5827312660054509,2072517.2222222225,1,중위험_장기연체군,"채무 조정(분할 상환, 유예) 제안"
27,50,남성,부천시 오정구,47928103,69,실패,0,47928103,문자,4,0,,845,6330,직장인,L0027,단기,0.0,0.0,2,저위험_단기연체군,자동 문자/이메일 발송
28,47,여성,구리시,13914133,125,성공,7045470,6868663,전화,5,0,120.0,643,4675,직장인,L0028,중기,0.5063535040235708,1409094.0,2,저위험_단기연체군,자동 문자/이메일 발송
29,29,남성,청양군,8531109,58,실패,0,8531109,문자,4,1,,753,2237,직장인,L0029,단기,0.0,0.0,2,저위험_단기연체군,자동 문자/이메일 발송
30,31,남성,강릉시,34917265,55,성공,21443831,13473434,전화,3,0,32.0,440,5684,직장인,L0030,단기,0.6141326074651036,7147943.666666667,2,저위험_단기연체군,자동 문자/이메일 발송
31,26,여성,당진시,32752842,58,성공,21415553,11337289,문자,1,0,25.0,816,5074,직장인,L0031,단기,0.6538532747784146,21415553.0,2,저위험_단기연체군,자동 문자/이메일 발송
32,27,여성,파주시,32761472,101,성공,23731643,9029829,방문,4,0,49.0,588,6649,직장인,L0032,중기,0.724376578683644,5932910.75,2,저위험_단기연체군,자동 문자/이메일 발송
33,38,남성,고양시 일산동구,36258266,154,성공,36113928,144338,전화,4,0,51.0,741,3387,직장인,L0033,중기,0.9960191698080652,9028482.0,2,저위험_단기연체군,자동 문자/이메일 발송
35,67,여성,강릉시,16732856,362,성공,11978613,4754243,전화,13,0,255.0,854,6104,직장인,L0035,상각,0.7158737874753718,921431.7692307692,1,중위험_장기연체군,"채무 조정(분할 상환, 유예) 제안"
36,54,여성,속초시,36401635,89,성공,18322950,18078685,문자,4,0,71.0,766,6884,직장인,L0036,단기,0.5033551377568617,4580737.5,2,저위험_단기연체군,자동 문자/이메일 발송
37,38,남성,오산시,40599210,190,실패,0,40599210,전화,6,0,,802,2002,직장인,L0037,상각,0.0,0.0,0,고액_고위험군,전담 추심원 배정 및 법적 절차 준비
38,34,여성,보령시,37342388,275,실패,0,37342388,전화,9,2,,873,7265,자영업,L0038,상각,0.0,0.0,0,고액_고위험군,전담 추심원 배정 및 법적 절차 준비
40,46,여성,청주시 청원구,17313604,164,성공,15709899,1603705,전화,6,0,116.0,536,4695,직장인,L0040,중기,0.907373126935328,2618316.5,2,저위험_단기연체군,자동 문자/이메일 발송
41,32,여성,청주시 상당구,8737730,145,성공,8392398,345332,전화,7,0,20.0,618,6380,직장인,L0041,중기,0.96047806466897,1198914.0,2,저위험_단기연체군,자동 문자/이메일 발송
42,29,남성,수원시 권선구,32467368,68,성공,22421556,10045812,전화,3,0,28.0,894,4263,직장인,L0042,단기,0.6905874230396502,7473852.0,2,저위험_단기연체군,자동 문자/이메일 발송
44,33,남성,태백시,8433706,226,성공,6734059,1699647,전화,9,0,197.0,632,5816,직장인,L0044,상각,0.7984697356061499,748228.7777777778,1,중위험_장기연체군,"채무 조정(분할 상환, 유예) 제안"
45,55,여성,수원시,27540858,287,실패,0,27540858,전화,11,0,,934,6488,자영업,L0045,상각,0.0,0.0,0,고액_고위험군,전담 추심원 배정 및 법적 절차 준비
46,41,남성,안산시 단원구,29368211,261,실패,0,29368211,방문,8,1,,710,6872,직장인,L0046,상각,0.0,0.0,1,중위험_장기연체군,"채무 조정(분할 상환, 유예) 제안"
47,59,남성,안성시,6982025,58,성공,6738808,243217,문자,1,0,27.0,807,6600,직장인,L0047,단기,0.965165263659182,6738808.0,2,저위험_단기연체군,자동 문자/이메일 발송
48,32,남성,보령시,19292115,106,실패,0,19292115,전화,3,0,,496,7106,자영업,L0048,중기,0.0,0.0,2,저위험_단기연체군,자동 문자/이메일 발송
49,31,여성,고양시 일산동구,23998190,265,실패,0,23998190,전화,8,0,,739,3938,직장인,L0049,상각,0.0,0.0,0,고액_고위험군,전담 추심원 배정 및 법적 절차 준비
50,21,여성,예산군,6964346,203,실패,0,6964346,전화,7,1,,695,2679,직장인,L0050,상각,0.0,0.0,0,고액_고위험군,전담 추심원 배정 및 법적 절차 준비
51,22,남성,태백시,35266140,211,성공,25234832,10031308,방문,9,0,137.0,528,5555,직장인,L0051,상각,0.7155541264226819,2803870.222222222,1,중위험_장기연체군,"채무 조정(분할 상환, 유예) 제안"
52,40,여성,춘천시,34534137,48,성공,23913646,10620491,문자,2,0,31.0,785,7417,자영업,L0052,단기,0.6924639813642947,11956823.0,2,저위험_단기연체군,자동 문자/이메일 발송
53,66,여성,가평군,32287651,73,실패,0,32287651,문자,5,3,,628,4540,직장인,L0053,단기,0.0,0.0,2,저위험_단기연체군,자동 문자/이메일 발송
54,25,여성,음성군,13494886,255,성공,9124802,4370084,방문,10,0,228.0,467,5600,직장인,L0054,상각,0.6761674014882378,912480.2,1,중위험_장기연체군,"채무 조정(분할 상환, 유예) 제안"
55,62,여성,아산시,49680258,179,성공,38966897,10713361,방문,7,0,149.0,848,5752,직장인,L0055,중기,0.7843537567779942,5566699.571428572,0,고액_고위험군,전담 추심원 배정 및 법적 절차 준비
56,48,여성,김포시,1635899,162,성공,960440,675459,방문,6,0,85.0,783,5439,자영업,L0056,중기,0.5871022599805978,160073.33333333334,2,저위험_단기연체군,자동 문자/이메일 발송
57,25,여성,태백시,43148673,361,성공,33476401,9672272,방문,14,3,79.0,788,2604,직장인,L0057,상각,0.775838482912325,2391171.5,0,고액_고위험군,전담 추심원 배정 및 법적 절차 준비
58,30,여성,동해시,10010131,208,성공,5473863,4536268,전화,7,0,171.0,477,7762,무직,L0058,상각,0.5468323041926224,781980.4285714285,1,중위험_장기연체군,"채무 조정(분할 상환, 유예) 제안"
59,40,남성,가평군,31405146,45,실패,0,31405146,문자,3,1,,542,7599,직장인,L0059,단기,0.0,0.0,2,저위험_단기연체군,자동 문자/이메일 발송
60,41,남성,양주시,22758659,270,실패,0,22758659,전화,10,1,,936,4366,직장인,L0060,상각,0.0,0.0,0,고액_고위험군,전담 추심원 배정 및 법적 절차 준비
61,35,남성,청양군,23623918,223,실패,0,23623918,전화,8,0,,644,7417,자영업,L0061,상각,0.0,0.0,1,중위험_장기연체군,"채무 조정(분할 상환, 유예) 제안"
62,50,남성,금산군,41894899,303,실패,0,41894899,방문,12,0,,429,4748,자영업,L0062,상각,0.0,0.0,1,중위험_장기연체군,"채무 조정(분할 상환, 유예) 제안"
63,23,남성,안산시,12536763,145,성공,11955265,581498,방문,7,0,94.0,562,6142,직장인,L0063,중기,0.9536165755067716,1707895.0,2,저위험_단기연체군,자동 문자/이메일 발송
64,51,남성,태안군,26551776,176,실패,0,26551776,전화,7,0,,775,7643,직장인,L0064,중기,0.0,0.0,1,중위험_장기연체군,"채무 조정(분할 상환, 유예) 제안"
66,53,여성,안산시,8955096,36,성공,8333893,621203,전화,1,0,26.0,935,2779,직장인,L0066,단기,0.9306313410822172,8333893.0,2,저위험_단기연체군,자동 문자/이메일 발송
67,36,남성,용인시 수지구,16092999,185,성공,14080264,2012735,전화,7,0,78.0,435,2597,직장인,L0067,상각,0.8749310181402484,2011466.2857142857,2,저위험_단기연체군,자동 문자/이메일 발송
68,63,남성,성남시 중원구,44280739,298,성공,27041486,17239253,전화,11,2,275.0,562,2927,직장인,L0068,상각,0.6106828072584787,2458316.909090909,0,고액_고위험군,전담 추심원 배정 및 법적 절차 준비
